mappedGenes,riskAllele,traitName,pValue,orValue,ChemicalName,Interaction,InteractionActions
DLG2,rs72945810-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",5e-6,1.5224183,Lead,Lead affects the expression of DLG2 mRNA,affects^expression
DMAC1,rs1416585-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 carriers",2e-6,0.7812969,methylmercuric chloride,methylmercuric chloride results in decreased expression of DMAC1 mRNA,decreases^expression
DMD,rs5972406-?,Alzheimer's disease (clinical cases)  (r-XCI inactivation),1e-6,1.143,Lead,Lead affects the expression of DMD mRNA,affects^expression
DNAH1,rs113887954-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 carriers",1e-5,2.4198365,Mercury,Mercury results in decreased expression of DNAH1 mRNA,decreases^expression
DNAL1,rs12587545-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",4e-6,1.1951839,Lead,Lead results in decreased expression of DNAL1 mRNA,decreases^expression
DOK6,rs113422942-CA,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 carriers",3e-6,1.1783321,Lead,Lead affects the expression of DOK6 mRNA,affects^expression
DSEL,rs1210782962-G,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",1e-5,1.3396387,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of DSEL mRNA",affects^cotreatment|increases^expression
DSEL,rs1210782962-G,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",1e-5,1.3396387,methylmercuric chloride,methylmercuric chloride results in decreased expression of DSEL mRNA,decreases^expression
EBF1,rs75972093-?,Alzheimer's disease in non-APOE e4 carriers,1e-6,6.418,mercuric bromide,mercuric bromide results in decreased expression of EBF1 mRNA,decreases^expression
EBF1,rs75972093-?,Alzheimer's disease in non-APOE e4 carriers,1e-6,6.418,methylmercuric chloride,methylmercuric chloride results in increased expression of EBF1 mRNA,increases^expression
ECHDC3,rs7912495-G,Alzheimer's disease,1e-18,1.06,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of ECHDC3 mRNA",affects^cotreatment|decreases^expression
EFHD1,rs10193553-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 carriers",8e-7,0.7475157,methylmercuric chloride,methylmercuric chloride results in decreased expression of EFHD1 mRNA,decreases^expression
EGFR,rs76928645-T,Alzheimer's disease,2e-10,0.93,Mercuric Chloride,Mercuric Chloride results in increased expression of EGFR mRNA,increases^expression
EGFR,rs76928645-T,Alzheimer's disease,2e-10,0.93,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of EGFR mRNA",affects^cotreatment|increases^expression
EGFR,rs76928645-T,Alzheimer's disease,2e-10,0.93,lead acetate,"4-((3-bromophenyl)amino)-6,7-dimethoxyquinazoline inhibits the reaction [lead acetate results in increased phosphorylation of EGFR protein]",decreases^reaction|increases^phosphorylation
EGFR,rs76928645-T,Alzheimer's disease,2e-10,0.93,lead nitrate,EGFR mutant form affects the reaction [lead nitrate results in increased expression of PLA2G4A mRNA],affects^reaction|increases^expression
EGFR,rs76928645-T,Alzheimer's disease,2e-10,0.93,methylmercuric chloride,methylmercuric chloride results in increased expression of EGFR mRNA,increases^expression
EGLN3,rs35833468-?,Alzheimer's disease (late onset),3e-6,1.0869565,methylmercuric chloride,methylmercuric chloride results in decreased expression of EGLN3 mRNA,decreases^expression
EIF4E2,rs10193553-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 carriers",8e-7,0.7475157,Lead,Lead results in decreased expression of EIF4E2 mRNA,decreases^expression
EIF4E3,rs830662-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",4e-6,0.73808223,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of EIF4E3 mRNA",affects^cotreatment|decreases^expression
EIF4E3,rs830662-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",4e-6,0.73808223,mercuric bromide,mercuric bromide results in decreased expression of EIF4E3 mRNA,decreases^expression
EIF4E3,rs830662-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",4e-6,0.73808223,methylmercuric chloride,methylmercuric chloride results in decreased expression of EIF4E3 mRNA,decreases^expression
EMSY,rs190466244-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",2e-6,1.7062534,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of EMSY mRNA",affects^cotreatment|decreases^expression
EMSY,rs190466244-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",2e-6,1.7062534,methylmercuric chloride,methylmercuric chloride results in decreased expression of EMSY mRNA,decreases^expression
EPHB1,rs200299300-G,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 carriers",9e-6,0.5332846,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of EPHB1 mRNA",affects^cotreatment|decreases^expression
EPHB1,rs200299300-G,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 carriers",9e-6,0.5332846,mercuric bromide,mercuric bromide results in decreased expression of EPHB1 mRNA,decreases^expression
EPHB1,rs200299300-G,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 carriers",9e-6,0.5332846,methylmercuric chloride,methylmercuric chloride results in decreased expression of EPHB1 mRNA,decreases^expression
ERBB4,rs140239415-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",3e-6,0.5959491,methylmercuric chloride,methylmercuric chloride results in decreased expression of ERBB4 mRNA,decreases^expression
ERO1B,rs79144457-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",3e-7,1.4547005,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of ERO1B mRNA",affects^cotreatment|decreases^expression
ERO1B,rs79144457-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",3e-7,1.4547005,mercuric bromide,"[NOG protein co-treated with mercuric bromide co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of ERO1B mRNA",affects^cotreatment|decreases^expression
ESRRB,rs2008064-?,Rapidly progressive Alzheimer's disease (clinical) (case-control set 3),3e-6,2.394,Lead,Lead affects the methylation of ESRRB gene,affects^methylation
ETV5,rs9290830-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",8e-6,0.8694452,methylmercuric chloride,methylmercuric chloride results in increased expression of ETV5 mRNA,increases^expression
EXPH5,rs34386774-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",2e-6,1.13917,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of EXPH5 mRNA",affects^cotreatment|increases^expression
FAM107A,rs143997208-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",8e-6,0.6659105,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of FAM107A mRNA",affects^cotreatment|decreases^expression
FAM107A,rs143997208-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",8e-6,0.6659105,methylmercuric chloride,methylmercuric chloride results in decreased expression of FAM107A mRNA,decreases^expression
FAM210B,rs117000803-?,Alzheimer's disease in APOE e4+ carriers,4e-6,7.045,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of FAM210B mRNA",affects^cotreatment|increases^expression
FAM83E,rs433852-?,Posterior cortical atrophy and Alzheimer's disease,8e-6,1.6849171,Lead,Lead affects the methylation of FAM83E gene,affects^methylation
FANCD2,rs1552244-A,Alzheimer's disease,2e-6,1.32,Lead,Lead affects the expression of FANCD2 mRNA,affects^expression
FAR2,rs148377161-T,Alzheimer's disease,2e-8,3.312,methylmercuric chloride,methylmercuric chloride results in decreased expression of FAR2 mRNA,decreases^expression
FBXL13,rs77104831-?,Alzheimer's disease,2e-6,4.27716,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of FBXL13 mRNA",affects^cotreatment|decreases^expression
FEM1B,rs78511923-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",3e-6,1.3710817,Lead,Lead affects the expression of FEM1B mRNA,affects^expression
FEM1B,rs78511923-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",3e-6,1.3710817,methylmercuric chloride,methylmercuric chloride results in decreased expression of FEM1B mRNA,decreases^expression
FERMT2,rs17125924-G,Alzheimer's disease,8e-16,1.1,methylmercuric chloride,methylmercuric chloride results in increased expression of FERMT2 mRNA,increases^expression
FGGY,rs1390695-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",5e-6,1.5110428,methylmercuric chloride,methylmercuric chloride results in decreased expression of FGGY mRNA,decreases^expression
FLNB,rs1658366-?,Rapidly progressive Alzheimer's disease (pathologically-confirmed) (case-control set 1),6e-6,0.3749,Mercury,Mercury results in increased expression of FLNB mRNA,increases^expression
FLNB,rs1658366-?,Rapidly progressive Alzheimer's disease (pathologically-confirmed) (case-control set 1),6e-6,0.3749,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of FLNB mRNA",affects^cotreatment|increases^expression
FLNB,rs1658366-?,Rapidly progressive Alzheimer's disease (pathologically-confirmed) (case-control set 1),6e-6,0.3749,mercuric bromide,mercuric bromide results in increased expression of FLNB mRNA,increases^expression
FLNB,rs1658366-?,Rapidly progressive Alzheimer's disease (pathologically-confirmed) (case-control set 1),6e-6,0.3749,methylmercuric chloride,methylmercuric chloride results in increased expression of FLNB mRNA,increases^expression
FLRT2,rs10142223-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",8e-6,0.86901057,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of FLRT2 mRNA",affects^cotreatment|increases^expression
FLRT2,rs10142223-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",8e-6,0.86901057,lead acetate,lead acetate results in increased expression of FLRT2 mRNA,increases^expression
FLRT2,rs10142223-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",8e-6,0.86901057,methylmercuric chloride,methylmercuric chloride results in decreased expression of FLRT2 mRNA,decreases^expression
FNIP1,rs758324-T,Alzheimer's disease in APOE e4- carriers,4e-7,1.1627907,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of FNIP1 mRNA",affects^cotreatment|increases^expression
FNIP1,rs758324-T,Alzheimer's disease in APOE e4- carriers,4e-7,1.1627907,methylmercuric chloride,methylmercuric chloride results in increased expression of FNIP1 mRNA,increases^expression
FOXP2,rs7782412-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",6e-6,0.861483,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of FOXP2 mRNA",affects^cotreatment|increases^expression
FRAS1,rs58815656-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",5e-6,0.6621256,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of FRAS1 mRNA",affects^cotreatment|increases^expression
FRAS1,rs58815656-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",5e-6,0.6621256,methylmercuric chloride,methylmercuric chloride results in increased expression of FRAS1 mRNA,increases^expression
FRMD4B,rs116823421-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",6e-6,0.60902256,Lead,Lead affects the methylation of FRMD4B gene,affects^methylation
FRMD4B,rs116823421-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",6e-6,0.60902256,methylmercuric chloride,methylmercuric chloride results in decreased expression of FRMD4B mRNA,decreases^expression
FST,rs35868327-T,Alzheimer's disease (late onset),3e-7,1.4705882,methylmercuric chloride,methylmercuric chloride results in increased expression of FST mRNA,increases^expression
FSTL5,rs200867006-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",7e-6,0.66351753,methylmercuric chloride,methylmercuric chloride results in increased expression of FSTL5 mRNA,increases^expression
FTH1P5,rs4533991-T,Alzheimer's disease with no specific cognitive domain impairment,2e-6,1.32,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of FTH1P5 mRNA",affects^cotreatment|increases^expression
FTH1P5,rs4533991-T,Alzheimer's disease with no specific cognitive domain impairment,2e-6,1.32,methylmercuric chloride,methylmercuric chloride results in increased expression of FTH1P5 mRNA,increases^expression
GAB2,rs2373115-G,Alzheimer's disease (late onset),1e-10,4.06,methylmercuric chloride,methylmercuric chloride results in increased expression of GAB2 mRNA,increases^expression
GABRB3,rs116431532-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 carriers",6e-6,0.55477095,Mercuric Chloride,"[NOG protein co-treated with Mercuric Chloride co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of GABRB3 mRNA",affects^cotreatment|increases^expression
GABRB3,rs116431532-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 carriers",6e-6,0.55477095,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of GABRB3 mRNA",affects^cotreatment|increases^expression
GABRB3,rs116431532-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 carriers",6e-6,0.55477095,mercuric bromide,mercuric bromide results in increased expression of GABRB3 mRNA,increases^expression
GABRB3,rs116431532-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 carriers",6e-6,0.55477095,methylmercuric chloride,methylmercuric chloride results in increased expression of GABRB3 mRNA,increases^expression
GABRG3,rs7402147-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",3e-6,1.1115996,Lead,Lead affects the expression of GABRG3 mRNA,affects^expression
GALNT15,rs17041810-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",4e-6,0.7408182,Lead,Lead affects the expression of GALNT15 mRNA,affects^expression
GALNT15,rs17041810-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",4e-6,0.7408182,lead acetate,lead acetate results in decreased expression of GALNT15 mRNA,decreases^expression
GALNT17,rs10275428-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",4e-6,1.4015797,Lead,Lead affects the expression of GALNT17 mRNA,affects^expression
GALR1,rs72987909-?,Alzheimer's disease in APOE e4+ carriers,1e-6,2.077,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of GALR1 mRNA",affects^cotreatment|increases^expression
GFPT1,rs77731149-?,Alzheimer's disease in APOE e4+ carriers,5e-6,3.733,Lead,Lead affects the expression of GFPT1 mRNA,affects^expression
GFPT1,rs77731149-?,Alzheimer's disease in APOE e4+ carriers,5e-6,3.733,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of GFPT1 mRNA",affects^cotreatment|increases^expression
GFPT1,rs77731149-?,Alzheimer's disease in APOE e4+ carriers,5e-6,3.733,methylmercuric chloride,methylmercuric chloride results in increased expression of GFPT1 mRNA,increases^expression
GGPS1,rs10925482-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 carriers",6e-6,1.1870842,methylmercuric chloride,methylmercuric chloride results in decreased expression of GGPS1 mRNA,decreases^expression
GLI2,rs34875362-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",2e-6,0.85941786,methylmercuric chloride,methylmercuric chloride results in increased expression of GLI2 mRNA,increases^expression
GLI3,rs78046089-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",2e-6,1.563927,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of GLI3 mRNA",affects^cotreatment|decreases^expression
GLI3,rs78046089-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",2e-6,1.563927,methylmercuric chloride,methylmercuric chloride results in decreased expression of GLI3 mRNA,decreases^expression
GLRX,rs116568941-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",7e-6,1.6284033,Mercuric Chloride,Mercuric Chloride affects the metabolism of GLRX protein,affects^metabolic processing
GLRX,rs116568941-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",7e-6,1.6284033,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of GLRX mRNA",affects^cotreatment|increases^expression
GLRX,rs116568941-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",7e-6,1.6284033,methylmercuric chloride,methylmercuric chloride results in increased expression of and results in decreased activity of GLRX protein,decreases^activity|increases^expression
GPATCH2L,rs2008064-?,Rapidly progressive Alzheimer's disease (clinical) (case-control set 3),3e-6,2.394,methylmercuric chloride,methylmercuric chloride results in decreased expression of GPATCH2L mRNA,decreases^expression
GPBP1,rs10071932-?,Posterior cortical atrophy and Alzheimer's disease,9e-6,1.4506525,methylmercuric chloride,methylmercuric chloride results in decreased expression of GPBP1 mRNA,decreases^expression
GPC6,rs9516245-?,Alzheimer's disease,4e-7,1.73,Lead,Lead affects the expression of GPC6 mRNA,affects^expression
GRIK3,rs11263955-?,Alzheimer's disease in APOE e4+ carriers,5e-6,1.974,Phenylmercuric Acetate,Phenylmercuric Acetate results in decreased expression of GRIK3 mRNA,decreases^expression
GRIK3,rs11263955-?,Alzheimer's disease in APOE e4+ carriers,5e-6,1.974,methylmercuric chloride,methylmercuric chloride results in decreased expression of GRIK3 mRNA,decreases^expression
GTF2F1,rs192565310-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",6e-7,0.70730025,Lead,Lead results in decreased expression of GTF2F1 mRNA,decreases^expression
GUCY1A2,rs11211840-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",1e-5,1.4219085,Lead,Lead affects the expression of GUCY1A2 mRNA,affects^expression
GUCY1A2,rs11211840-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",1e-5,1.4219085,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of GUCY1A2 mRNA",affects^cotreatment|increases^expression
HAMP,rs34805185-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",1e-6,0.83343464,Mercury,[HAMP protein results in decreased expression of SLC11A2 mRNA] which results in decreased uptake of Mercury,decreases^expression|decreases^uptake
HBB,rs12295158-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 carriers",9e-6,1.5522414,Lead,HBB protein binds to Lead,affects^binding
HBEGF,rs11168036-T,Alzheimer's disease,7e-9,1.08,Lead,Lead affects the expression of HBEGF mRNA,affects^expression
HBEGF,rs11168036-T,Alzheimer's disease,7e-9,1.08,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of HBEGF mRNA",affects^cotreatment|increases^expression
HBEGF,rs11168036-T,Alzheimer's disease,7e-9,1.08,lead acetate,lead acetate results in increased expression of HBEGF mRNA,increases^expression
HBEGF,rs11168036-T,Alzheimer's disease,7e-9,1.08,methylmercuric chloride,methylmercuric chloride results in increased expression of HBEGF mRNA,increases^expression
HBG2,rs113744604-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",4e-6,0.610547,methylmercuric chloride,methylmercuric chloride results in increased expression of HBG2 mRNA,increases^expression
HDAC9,rs78872508-C,Alzheimer's disease with multiple cognitive domain impairments,2e-6,2.2222223,methylmercuric chloride,methylmercuric chloride results in decreased expression of HDAC9 mRNA,decreases^expression
HLA-C,rs17197839-?,Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile),6e-34,0.76,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of HLA-C mRNA",affects^cotreatment|increases^expression
HLA-C,rs17197839-?,Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile),6e-34,0.76,methylmercuric chloride,methylmercuric chloride results in increased expression of HLA-C mRNA,increases^expression
HLA-DQA1,rs6605556-G,Alzheimer's disease,7e-20,0.91,Mercury,Mercury results in decreased expression of HLA-DQA1 mRNA,decreases^expression
HLA-DRB1,rs6605556-G,Alzheimer's disease,7e-20,0.91,Lead,Lead affects the expression of HLA-DRB1 mRNA,affects^expression
HPCAL1,rs6735399-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",5e-6,1.1613696,Lead,Lead affects the expression of HPCAL1 mRNA,affects^expression
HS3ST1,rs6448799-T,Alzheimer's disease (late onset),7e-8,1.08,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of HS3ST1 mRNA",affects^cotreatment|increases^expression
HS3ST1,rs6448799-T,Alzheimer's disease (late onset),7e-8,1.08,mercuric bromide,mercuric bromide results in increased expression of HS3ST1 mRNA,increases^expression
HS3ST5,rs785129-T,Alzheimer's disease,2e-9,1.04,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of HS3ST5 mRNA",affects^cotreatment|increases^expression
HSD17B4,rs115676724-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",4e-6,1.3537791,Lead,Lead results in decreased expression of HSD17B4 mRNA,decreases^expression
ICE1,rs57288781-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",6e-6,1.3521556,Lead,Lead affects the methylation of ICE1 gene,affects^methylation
IDUA,rs3822030-G,Alzheimer's disease,8e-12,0.95,Lead,Lead affects the expression of IDUA mRNA,affects^expression
IFT81,rs144176864-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",3e-7,0.7346949,methylmercuric chloride,methylmercuric chloride results in decreased expression of IFT81 mRNA,decreases^expression
IGF1,rs139807087-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",8e-6,1.761208,Lead,Lead inhibits the reaction [IGF1 protein results in increased activity of MTR protein],decreases^reaction|increases^activity
IGF1,rs139807087-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",8e-6,1.761208,Mercury,Mercury inhibits the reaction [IGF1 protein results in increased activity of MTR protein],decreases^reaction|increases^activity
IGF1,rs139807087-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",8e-6,1.761208,methylmercuric chloride,methylmercuric chloride results in increased expression of IGF1 mRNA,increases^expression
IGF2BP2,rs367572673-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",2e-6,0.5382135,Lead,Lead affects the methylation of IGF2BP2 gene,affects^methylation
IGF2R,rs9456478-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 carriers",4e-6,1.1805731,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of IGF2R mRNA",affects^cotreatment|increases^expression
IGHG1,rs7157106-A,Alzheimer's disease,2e-8,1.05,Lead,Lead results in decreased expression of IGHG1 mRNA,decreases^expression
IGSF11,rs1521291-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",8e-7,0.83786356,Lead,Lead affects the expression of IGSF11 mRNA,affects^expression
