riskAllele,pValue,pValueAnnotation,riskFrequency,orValue,beta,ci,mappedGenes,traitName,efoTraits,bgTraits,accessionId,locations
rs823118-?,6e-12,-,NR,1.117,-,[1.082-1.153],"NUCKS1,RAB29",Parkinson's disease,Parkinson disease,-,GCST003984,1:205754444
rs4713118-?,2e-10,-,NR,1.121,-,[1.083-1.162],LINC01012,Parkinson's disease,Parkinson disease,-,GCST003984,6:27709015
rs687432-?,2e-9,-,NR,1.113,-,[1.075-1.153],"OR5AZ1P,OR5BD1P",Parkinson's disease,Parkinson disease,-,GCST003984,11:57926788
rs13294100-G,5e-13,-,0.629,1.0869565,-,[1.06-1.12],SH3GL2,Parkinson's disease,Parkinson disease,-,GCST004902,9:17579692
rs10906923-A,1e-8,-,0.694,1.0752687,-,[1.04-1.1],ITGA8,Parkinson's disease,Parkinson disease,-,GCST004902,10:15527599
rs8005172-T,9e-11,-,0.424,1.08,-,[1.05-1.10],GPR65,Parkinson's disease,Parkinson disease,-,GCST004902,14:88006268
rs11343-T,9e-11,-,0.454,1.07,-,[1.05-1.10],SYT17,Parkinson's disease,Parkinson disease,-,GCST004902,16:19268142
rs4784227-T,1e-10,-,0.265,1.09,-,[1.06-1.12],CASC16,Parkinson's disease,Parkinson disease,-,GCST004902,16:52565276
rs10929159-A,7e-8,-,NR,1.0626993,-,-,AGAP1,Parkinson's disease,Parkinson disease,-,GCST004902,2:236024319
rs117896735-A,2e-19,-,0.015,1.65,-,[1.48-1.85],INPP5F,Parkinson's disease,Parkinson disease,-,GCST004902,10:119776815
rs3793947-G,4e-9,-,0.558,1.0752687,-,[1.05-1.1],DLG2,Parkinson's disease,Parkinson disease,-,GCST004902,11:83833429
rs329648-T,1e-13,-,0.351,1.09,-,[1.07-1.12],"IGSF9B,SPATA19",Parkinson's disease,Parkinson disease,-,GCST004902,11:133895472
rs76904798-T,1e-19,-,0.137,1.15,-,[1.12-1.19],"LRRK2-DT,LRRK2",Parkinson's disease,Parkinson disease,-,GCST004902,12:40220632
rs11060180-A,2e-20,-,0.551,1.1111112,-,[1.09-1.14],CCDC62,Parkinson's disease,Parkinson disease,-,GCST004902,12:122819039
rs11158026-C,4e-16,-,0.669,1.098901,-,[1.08-1.12],GCH1,Parkinson's disease,Parkinson disease,-,GCST004902,14:54882151
rs1555399-T,1e-10,-,0.514,1.09,-,[1.06-1.11],TMEM229B,Parkinson's disease,Parkinson disease,-,GCST004902,14:67517653
rs2414739-A,4e-14,-,0.734,1.098901,-,[1.08-1.12],"LINC02349,RORA",Parkinson's disease,Parkinson disease,-,GCST004902,15:61701935
rs316619-C,7e-6,-,NR,1.0548522,-,[1.03-1.08],LTK,Parkinson's disease,Parkinson disease,-,GCST004902,15:41506416
rs5910-C,4e-6,-,NR,1.056,-,[1.03-1.08],ITGA2B,Parkinson's disease,Parkinson disease,-,GCST004902,17:44372421
rs62120679-T,7e-7,-,0.31,1.08,-,[1.05-1.11],TMPRSS9,Parkinson's disease,Parkinson disease,-,GCST004902,19:2363321
rs8118008-A,2e-6,-,0.609,1.07,-,[1.04-1.09],"DDRGK1,LZTS3",Parkinson's disease,Parkinson disease,-,GCST004902,20:3187520
rs4653767-T,2e-11,-,0.685,1.0869565,-,[1.06-1.11],ITPKB,Parkinson's disease,Parkinson disease,-,GCST004902,1:226728377
rs34043159-C,5e-11,-,0.352,1.08,-,[1.06-1.10],MAP4K4,Parkinson's disease,Parkinson disease,-,GCST004902,2:101796654
rs823118-T,1.0000000000000001e-23,-,0.557,1.1235955,-,[1.1-1.15],"NUCKS1,RAB29",Parkinson's disease,Parkinson disease,-,GCST004902,1:205754444
rs4073221-G,2e-8,-,0.132,1.1,-,[1.06-1.13],TBC1D5,Parkinson's disease,Parkinson disease,-,GCST004902,3:18235996
rs12497850-T,9e-9,-,0.653,1.0752687,-,[1.04-1.1],IP6K2,Parkinson's disease,Parkinson disease,-,GCST004902,3:48711556
rs143918452-A,3e-8,-,0.004,1.4705882,-,[1.28-1.67],ITIH1,Parkinson's disease,Parkinson disease,-,GCST004902,3:52782824
rs78738012-C,5e-11,-,0.106,1.13,-,[1.09-1.17],CAMK2D,Parkinson's disease,Parkinson disease,-,GCST004902,4:113439216
rs2694528-C,5e-15,-,0.115,1.15,-,[1.11-1.20],NDUFAF2,Parkinson's disease,Parkinson disease,-,GCST004902,5:60978096
rs9468199-A,1e-12,-,0.172,1.11,-,[1.08-1.14],LINC01012,Parkinson's disease,Parkinson disease,-,GCST004902,6:27713436
rs2740594-A,6e-12,-,0.753,1.09,-,[1.07-1.12],CTSB,Parkinson's disease,Parkinson disease,-,GCST004902,8:11849665
rs11724635-A,1e-19,-,0.548,1.1111112,-,[1.09-1.14],BST1,Parkinson's disease,Parkinson disease,-,GCST004902,4:15735478
rs6812193-C,1e-14,-,0.63,1.0869565,-,[1.06-1.11],"FAM47E,FAM47E-STBD1",Parkinson's disease,Parkinson disease,-,GCST004902,4:76277833
rs356182-G,4.9999999999999996e-123,-,0.349,1.33,-,[1.30-1.36],SNCA,Parkinson's disease,Parkinson disease,-,GCST004902,4:89704960
rs9275326-C,1e-13,-,0.895,1.1764705,-,[1.12-1.22],"HLA-DQB1,MTCO3P1",Parkinson's disease,Parkinson disease,-,GCST004902,6:32698883
rs199347-A,4e-18,-,0.588,1.098901,-,[1.08-1.12],GPNMB,Parkinson's disease,Parkinson disease,-,GCST004902,7:23254127
rs591323-G,2e-11,-,0.726,1.098901,-,[1.06-1.12],"RN7SL474P,MSR1",Parkinson's disease,Parkinson disease,-,GCST004902,8:16839582
rs67460515-C,1e-6,-,NR,1.059,-,[1.04-1.08],SPTSSB,Parkinson's disease,Parkinson disease,-,GCST004902,3:161350778
rs10463554-T,2e-7,-,NR,1.0649627,-,[1.04-1.09],PAM,Parkinson's disease,Parkinson disease,-,GCST004902,5:102983270
rs17767294-G,2e-7,-,NR,1.107,-,[1.07-1.15],"ZNF165,ZSCAN16-AS1",Parkinson's disease,Parkinson disease,-,GCST004902,6:28086420
rs943437-A,6e-8,-,NR,1.0940919,-,[1.06-1.13],"CCN6,LINC02527",Parkinson's disease,Parkinson disease,-,GCST004902,6:111921050
rs2921073-C,1e-7,-,NR,1.0615711,-,[1.04-1.08],LINC02950,Parkinson's disease,Parkinson disease,-,GCST004902,8:8450133
rs2296887-C,2e-7,-,NR,1.084,-,[1.05-1.11],GBF1,Parkinson's disease,Parkinson disease,-,GCST004902,10:102245653
rs9568188-T,4e-7,-,NR,1.0683761,-,[1.04-1.09],CAB39L,Parkinson's disease,Parkinson disease,-,GCST004902,13:49353596
rs9516970-A,5e-7,-,NR,1.065,-,[1.04-1.09],"RPL7AP61,PSMA6P4",Parkinson's disease,Parkinson disease,-,GCST004902,13:97592635
rs8017172-G,2e-7,-,NR,1.0615711,-,[1.04-1.08],"RPL13AP3,KTN1",Parkinson's disease,Parkinson disease,-,GCST004902,14:55732330
rs14235-A,5e-12,-,0.378,1.08,-,[1.06-1.10],BCKDK,Parkinson's disease,Parkinson disease,-,GCST004902,16:31110472
rs17649553-C,9.999999999999999e-69,-,0.779,1.2820514,-,[1.25-1.32],MAPT,Parkinson's disease,Parkinson disease,-,GCST004902,17:45917282
rs12456492-G,6e-16,-,0.315,1.1,-,[1.07-1.12],RIT2,Parkinson's disease,Parkinson disease,-,GCST004902,18:43093415
rs6416935-G,4e-7,-,NR,1.081081,-,[1.05-1.11],"MED13,Y_RNA",Parkinson's disease,Parkinson disease,-,GCST004902,17:62107553
rs35749011-A,3e-35,-,0.012,1.724138,-,[1.59-1.89],"KRTCAP2,HMGN2P18",Parkinson's disease,Parkinson disease,-,GCST004902,1:155162560
rs353116-C,3e-8,-,0.615,1.0638298,-,[1.04-1.09],SCN2A,Parkinson's disease,Parkinson disease,-,GCST004902,2:165277122
rs10797576-T,8e-13,-,0.135,1.12,-,[1.09-1.15],SIPA1L2,Parkinson's disease,Parkinson disease,-,GCST004902,1:232528865
rs6430538-C,8.000000000000001e-24,-,0.55,1.1235955,-,[1.1-1.15],CCNT2-AS1,Parkinson's disease,Parkinson disease,-,GCST004902,2:134782397
rs1474055-T,6e-26,-,0.126,1.2048193,-,[1.16-1.25],"STK39,RN7SL813P",Parkinson's disease,Parkinson disease,-,GCST004902,2:168253884
rs12637471-G,1.9999999999999998e-30,-,0.802,1.1764705,-,[1.15-1.22],MCCC1,Parkinson's disease,Parkinson disease,-,GCST004902,3:183044649
rs34311866-C,9.999999999999999e-51,-,0.184,1.23,-,[1.20-1.27],TMEM175,Parkinson's disease,Parkinson disease,-,GCST004902,4:958159
rs2280104-T,3e-8,-,0.367,1.07,-,[1.04-1.09],BIN3,Parkinson's disease,Parkinson disease,-,GCST004902,8:22668467
rs3104776-A,4e-12,-,NR,-,-,-,CASC16,Parkinson's disease,Parkinson disease,-,GCST90308590,16:52597550
rs113487377-A,1e-8,-,NR,-,-,-,"PHB1P21,CASC16",Parkinson's disease,Parkinson disease,-,GCST90308590,16:52922415
rs11650438-A,1e-7,-,NR,-,-,-,PIGL,Parkinson's disease,Parkinson disease,-,GCST90308590,17:16330946
rs665268-A,2e-7,-,NR,-,-,-,MLX,Parkinson's disease,Parkinson disease,-,GCST90308590,17:42570011
rs62066707-A,9e-11,-,NR,-,-,-,FMNL1-DT,Parkinson's disease,Parkinson disease,-,GCST90308590,17:45196625
rs62053943-T,1e-69,-,NR,-,-,-,LINC02210-CRHR1,Parkinson's disease,Parkinson disease,-,GCST90308590,17:45666837
rs7225082-T,6e-16,-,NR,-,-,-,LINC02210-CRHR1,Parkinson's disease,Parkinson disease,-,GCST90308590,17:45771129
rs34724124-A,7e-8,-,NR,-,-,-,WNT3,Parkinson's disease,Parkinson disease,-,GCST90308590,17:46825150
rs148528915-T,5e-10,(random effect),NR,-,-,-,MED13,Parkinson's disease,Parkinson disease,-,GCST90308590,17:62048221
rs77483524-A,3e-7,-,NR,-,-,-,PGS1,Parkinson's disease,Parkinson disease,-,GCST90308590,17:78408199
rs4485435-C,3e-9,(random effect),NR,-,-,-,FASN,Parkinson's disease,Parkinson disease,-,GCST90308590,17:82087210
rs4588066-A,2.0000000000000002e-28,-,NR,-,-,-,RIT2,Parkinson's disease,Parkinson disease,-,GCST90308590,18:43092999
rs75344947-T,9e-10,(random effect),NR,-,-,-,"SYT4,RNA5SP455",Parkinson's disease,Parkinson disease,-,GCST90308590,18:43360967
rs4815573-T,6e-11,(random effect),NR,-,-,-,"LZTS3,DDRGK1",Parkinson's disease,Parkinson disease,-,GCST90308590,20:3186025
rs73174657-A,5e-7,-,NR,-,-,-,"Y_RNA,RBX1",Parkinson's disease,Parkinson disease,-,GCST90308590,22:41038154
rs10775809-A,6e-8,-,NR,-,-,-,PPP6R2,Parkinson's disease,Parkinson disease,-,GCST90308590,22:50369588
rs12734374-A,3.9999999999999994e-68,-,NR,-,-,-,ASH1L,Parkinson's disease,Parkinson disease,-,GCST90308590,1:155419060
rs10903-A,2e-9,-,NR,-,-,-,VAMP4,Parkinson's disease,Parkinson disease,-,GCST90308590,1:171704096
rs12118655-A,1.9999999999999998e-32,-,NR,-,-,-,"Metazoa_SRP,NUCKS1",Parkinson's disease,Parkinson disease,-,GCST90308590,1:205694350
rs4653767-T,3e-24,-,NR,-,-,-,ITPKB,Parkinson's disease,Parkinson disease,-,GCST90308590,1:226728377
rs1326293-T,1e-17,-,NR,-,-,-,SIPA1L2,Parkinson's disease,Parkinson disease,-,GCST90308590,1:232533936
rs11683001-A,2e-12,-,NR,-,-,-,MAP4K4,Parkinson's disease,Parkinson disease,-,GCST90308590,2:101780501
rs57891859-A,5e-12,-,NR,-,-,-,TMEM163,Parkinson's disease,Parkinson disease,-,GCST90308590,2:134707046
rs12987123-A,3.9999999999999995e-42,-,NR,-,-,-,"RN7SL813P,STK39",Parkinson's disease,Parkinson disease,-,GCST90308590,2:168264031
rs6808178-T,6e-12,-,NR,-,-,-,RBMS3,Parkinson's disease,Parkinson disease,-,GCST90308590,3:28664199
rs12497850-T,3e-9,-,NR,-,-,-,IP6K2,Parkinson's disease,Parkinson disease,-,GCST90308590,3:48711556
rs6803771-A,5e-11,-,NR,-,-,-,MED12L,Parkinson's disease,Parkinson disease,-,GCST90308590,3:151395180
rs7636454-A,3e-9,-,NR,-,-,-,PIK3CA,Parkinson's disease,Parkinson disease,-,GCST90308590,3:179225280
rs11729193-A,2e-11,-,NR,-,-,-,PCGF3,Parkinson's disease,Parkinson disease,-,GCST90308590,4:740563
rs75072999-A,4e-19,-,NR,-,-,-,GAK,Parkinson's disease,Parkinson disease,-,GCST90308590,4:850993
rs34311866-T,5.000000000000001e-75,-,NR,-,-,-,TMEM175,Parkinson's disease,Parkinson disease,-,GCST90308590,4:958159
rs11941559-C,5e-10,-,NR,-,-,-,CC2D2A,Parkinson's disease,Parkinson disease,-,GCST90308590,4:15564251
rs7673321-A,8e-11,-,NR,-,-,-,LCORL,Parkinson's disease,Parkinson disease,-,GCST90308590,4:17956065
rs6854006-T,2e-19,-,NR,-,-,-,"FAM47E-STBD1,FAM47E",Parkinson's disease,Parkinson disease,-,GCST90308590,4:76276901
rs356182-A,3.999999999999999e-170,-,NR,-,-,-,SNCA,Parkinson's disease,Parkinson disease,-,GCST90308590,4:89704960
rs1372518-A,2e-79,-,NR,-,-,-,SNCA,Parkinson's disease,Parkinson disease,-,GCST90308590,4:89836143
rs79214011-A,1e-16,-,NR,-,-,-,MMRN1,Parkinson's disease,Parkinson disease,-,GCST90308590,4:89938128
rs75541595-A,3e-24,-,NR,-,-,-,CCSER1,Parkinson's disease,Parkinson disease,-,GCST90308590,4:90290373
rs1867598-A,7e-22,-,NR,-,-,-,ELOVL7,Parkinson's disease,Parkinson disease,-,GCST90308590,5:60842132
rs246815-C,3e-12,-,NR,-,-,-,"SV2C,SV2C-AS2",Parkinson's disease,Parkinson disease,-,GCST90308590,5:76303351
rs9461359-T,2e-9,-,NR,-,-,-,"VN1R10P,ZNF204P",Parkinson's disease,Parkinson disease,-,GCST90308590,6:27331788
rs9468199-A,9e-13,-,NR,-,-,-,LINC01012,Parkinson's disease,Parkinson disease,-,GCST90308590,6:27713436
rs12528068-T,7e-12,-,NR,-,-,-,"RNU4-66P,RIMS1",Parkinson's disease,Parkinson disease,-,GCST90308590,6:71778059
rs9487736-A,4e-15,-,NR,-,-,-,FYN,Parkinson's disease,Parkinson disease,-,GCST90308590,6:111847106
rs41286192-A,3e-11,-,NR,-,-,-,SLC18B1,Parkinson's disease,Parkinson disease,-,GCST90308590,6:132797077
rs34096562-T,6e-17,-,NR,-,-,-,"RN7SL474P,MSR1",Parkinson's disease,Parkinson disease,-,GCST90308590,8:16843772
rs11783129-A,6e-11,-,NR,-,-,-,PDLIM2,Parkinson's disease,Parkinson disease,-,GCST90308590,8:22595913
rs13294100-T,8e-21,-,NR,-,-,-,SH3GL2,Parkinson's disease,Parkinson disease,-,GCST90308590,9:17579692
rs13664-T,1e-12,-,NR,-,-,-,ITGA8,Parkinson's disease,Parkinson disease,-,GCST90308590,10:15514323
rs2178923-A,2e-13,-,NR,-,-,-,"TXNP1,INPP5F",Parkinson's disease,Parkinson disease,-,GCST90308590,10:119699575
rs4910150-T,1e-11,-,NR,-,-,-,"RNF141,MIR4485",Parkinson's disease,Parkinson disease,-,GCST90308590,11:10511626
rs6592142-T,5e-12,-,NR,-,-,-,DLG2,Parkinson's disease,Parkinson disease,-,GCST90308590,11:83798730
rs3802920-T,9e-20,-,NR,-,-,-,IGSF9B,Parkinson's disease,Parkinson disease,-,GCST90308590,11:133917106
rs73273590-A,9e-17,-,NR,-,-,-,CNTN1,Parkinson's disease,Parkinson disease,-,GCST90308590,12:40861076
rs34773022-A,2e-9,-,NR,-,-,-,"KNTC1,HCAR2",Parkinson's disease,Parkinson disease,-,GCST90308590,12:122638867
rs10847864-T,2e-41,-,NR,-,-,-,HIP1R,Parkinson's disease,Parkinson disease,-,GCST90308590,12:122842051
rs1078514-T,2e-9,-,NR,-,-,-,"IRS2,RN7SKP10",Parkinson's disease,Parkinson disease,-,GCST90308590,13:109810821
rs1956438-A,2e-9,-,NR,-,-,-,MIPOL1,Parkinson's disease,Parkinson disease,-,GCST90308590,14:37539010
rs11158026-T,3e-16,-,NR,-,-,-,GCH1,Parkinson's disease,Parkinson disease,-,GCST90308590,14:54882151
rs1561758-C,9e-10,-,NR,-,-,-,LINC01147,Parkinson's disease,Parkinson disease,-,GCST90308590,14:88021226
rs1870293-T,4.0000000000000004e-24,-,NR,-,-,-,SETD1A,Parkinson's disease,Parkinson disease,-,GCST90308590,16:30959620
rs850731-T,7e-10,-,NR,-,-,-,ITGA2B,Parkinson's disease,Parkinson disease,-,GCST90308590,17:44376902
rs8327-A,4e-11,-,NR,-,-,-,ARHGAP27,Parkinson's disease,Parkinson disease,-,GCST90308590,17:45395141
rs713522-T,1e-38,-,NR,-,-,-,MAPT,Parkinson's disease,Parkinson disease,-,GCST90308590,17:45987897
rs199453-T,1e-61,-,NR,-,-,-,NSF,Parkinson's disease,Parkinson disease,-,GCST90308590,17:46723580
rs61169879-T,2e-10,-,NR,-,-,-,BRIP1,Parkinson's disease,Parkinson disease,-,GCST90308590,17:61840005
rs8091977-T,4e-9,-,NR,-,-,-,"ASXL3,NOL4",Parkinson's disease,Parkinson disease,-,GCST90308590,18:33779450
rs55818311-T,1e-9,-,NR,-,-,-,SPPL2B,Parkinson's disease,Parkinson disease,-,GCST90308590,19:2341049
rs6060983-T,4e-9,-,NR,-,-,-,MYLK2,Parkinson's disease,Parkinson disease,-,GCST90308590,20:31833121
rs1736020-A,1e-9,-,NR,-,-,-,"CYCSP42,LINC02920",Parkinson's disease,Parkinson disease,-,GCST90308590,21:15440233
rs2248244-A,6e-10,-,NR,-,-,-,DYRK1A,Parkinson's disease,Parkinson disease,-,GCST90308590,21:37480059
rs36082764-?,6e-8,-,NR,-,0.62 unit decrease,[0.4-0.84],LINC00511,Parkinson disease axial motor severity,Parkinson disease,-,GCST90321084,17:72334038
rs4721411-?,2e-7,-,NR,-,0.53 unit increase,[0.33-0.73],MAD1L1,Parkinson disease axial motor severity,Parkinson disease,-,GCST90321084,7:2113436
rs10939702-?,8e-7,-,NR,-,0.57 unit increase,[0.33-0.81],WDR1,Parkinson disease axial motor severity,Parkinson disease,-,GCST90321084,4:10095068
rs76763715-?,2.9999999999999998e-90,-,NR,-,4.113 unit decrease,[3.71-4.51],GBA1,Parkinson disease,Parkinson disease,-,GCST90428733,1:155235843
rs114525519-?,9e-60,-,NR,-,2.563 unit decrease,[2.26-2.87],TRIM46,Parkinson disease,Parkinson disease,-,GCST90428733,1:155179361
rs116540837-?,2e-53,-,NR,-,2.383 unit decrease,[2.08-2.69],ASH1L,Parkinson disease,Parkinson disease,-,GCST90428733,1:155432750
rs116114495-?,2e-39,-,NR,-,2.134 unit decrease,[1.81-2.45],PBXIP1,Parkinson disease,Parkinson disease,-,GCST90428733,1:154951539
rs1630500-?,9.999999999999999e-38,-,NR,-,2.07 unit decrease,[1.75-2.39],"KCNN3,PMVK",Parkinson disease,Parkinson disease,-,GCST90428733,1:154882579
rs71628699-?,4e-36,-,NR,-,1.87 unit decrease,[1.58-2.16],ARHGEF2,Parkinson disease,Parkinson disease,-,GCST90428733,1:155974835
rs1749409-?,3e-34,-,NR,-,1.824 unit decrease,[1.53-2.12],RIT1,Parkinson disease,Parkinson disease,-,GCST90428733,1:155900625
rs41265017-?,9.999999999999999e-27,-,NR,-,1.657 unit decrease,[1.35-1.96],SEMA4A,Parkinson disease,Parkinson disease,-,GCST90428733,1:156176849
rs513043-?,2e-21,-,NR,-,1.416 unit decrease,[1.12-1.71],LMNA,Parkinson disease,Parkinson disease,-,GCST90428733,1:156129878
rs577492-?,3e-21,-,NR,-,1.413 unit decrease,[1.12-1.71],LMNA,Parkinson disease,Parkinson disease,-,GCST90428733,1:156130948
rs553016-?,4e-21,-,NR,-,1.407 unit decrease,[1.11-1.7],LMNA,Parkinson disease,Parkinson disease,-,GCST90428733,1:156137072
rs1800247-?,8e-10,-,NR,-,0.898 unit decrease,[0.61-1.18],PMF1-BGLAP,Parkinson disease,Parkinson disease,-,GCST90428733,1:156242034
rs2764407-?,4e-9,-,NR,-,0.861 unit decrease,[0.57-1.15],CCT3,Parkinson disease,Parkinson disease,-,GCST90428733,1:156364040
rs35902694-?,5e-8,-,NR,-,1.033 unit decrease,[0.66-1.4],EFNA4-EFNA3,Parkinson disease,Parkinson disease,-,GCST90428733,1:155070410
i709741-?,3e-7,-,NR,-,0.777 unit decrease,[0.48-1.07],-,Parkinson disease,Parkinson disease,-,GCST90428733,-
rs2049805-?,6e-7,-,NR,-,0.729 unit increase,[0.44-1.02],GBA1LP,Parkinson disease,Parkinson disease,-,GCST90428733,1:155225189
rs11264300-?,8e-7,-,NR,-,0.836 unit decrease,[0.5-1.17],"DCST1,DCST1-AS1",Parkinson disease,Parkinson disease,-,GCST90428733,1:155047234
rs7365544-?,9e-7,-,NR,-,0.719 unit increase,[0.43-1.01],"EFNA3,Y_RNA",Parkinson disease,Parkinson disease,-,GCST90428733,1:155096272
rs28445596-?,1e-6,-,NR,-,0.711 unit increase,[0.42-1],GBA1LP,Parkinson disease,Parkinson disease,-,GCST90428733,1:155216938
rs1218566-?,1e-6,-,NR,-,0.809 unit decrease,[0.48-1.14],KCNN3,Parkinson disease,Parkinson disease,-,GCST90428733,1:154845097
rs670523-?,1e-6,-,NR,-,0.794 unit decrease,[0.47-1.12],RIT1,Parkinson disease,Parkinson disease,-,GCST90428733,1:155908941
rs4072037-?,1e-6,-,NR,-,1.065 unit decrease,[0.63-1.5],MUC1,Parkinson disease,Parkinson disease,-,GCST90428733,1:155192276
rs7367207-?,1e-6,-,NR,-,0.696 unit increase,[0.41-0.98],"Y_RNA,EFNA3",Parkinson disease,Parkinson disease,-,GCST90428733,1:155107001
rs11264275-?,2e-6,-,NR,-,1.086 unit decrease,[0.64-1.53],KCNN3,Parkinson disease,Parkinson disease,-,GCST90428733,1:154852794
rs4845404-?,2e-6,-,NR,-,0.808 unit decrease,[0.48-1.14],DCST1,Parkinson disease,Parkinson disease,-,GCST90428733,1:155034817
rs75337321-?,2e-6,-,NR,-,0.83 unit decrease,[0.49-1.17],CACNA2D3,Parkinson disease,Parkinson disease,-,GCST90428733,3:54550560
rs17377936-?,2e-6,-,NR,-,0.682 unit increase,[0.4-0.97],"MTND1P22,GUCY1A1",Parkinson disease,Parkinson disease,-,GCST90428733,4:155466679
rs58519469-?,3e-6,-,NR,-,0.896 unit decrease,[0.52-1.27],NTRK1,Parkinson disease,Parkinson disease,-,GCST90428733,1:156878696
rs10908458-?,3e-6,-,NR,-,0.675 unit increase,[0.39-0.96],"HMGN2P18,KRTCAP2",Parkinson disease,Parkinson disease,-,GCST90428733,1:155154472
rs2798604-?,3e-6,-,NR,-,0.749 unit decrease,[0.43-1.06],KCNN3,Parkinson disease,Parkinson disease,-,GCST90428733,1:154825677
rs111408331-?,3e-6,-,NR,-,0.944 unit decrease,[0.55-1.34],"SSBP4,LRRC25",Parkinson disease,Parkinson disease,-,GCST90428733,19:18403904
rs79372348-?,4e-6,-,NR,-,1.007 unit decrease,[0.58-1.44],"LRRC30,PTPRM",Parkinson disease,Parkinson disease,-,GCST90428733,18:7234107
rs186852039-?,4e-6,-,NR,-,0.921 unit decrease,[0.53-1.31],GBA2,Parkinson disease,Parkinson disease,-,GCST90428733,9:35742005
rs11772125-?,4e-6,-,NR,-,0.799 unit decrease,[0.46-1.14],"AMZ1,GNA12",Parkinson disease,Parkinson disease,-,GCST90428733,7:2757620
rs11584630-?,5e-6,-,NR,-,0.747 unit decrease,[0.43-1.07],KCNN3,Parkinson disease,Parkinson disease,-,GCST90428733,1:154835459
rs12028043-?,7e-6,-,NR,-,0.649 unit increase,[0.37-0.93],"KRTCAP2,HMGN2P18",Parkinson disease,Parkinson disease,-,GCST90428733,1:155160360
rs72792300-?,7e-6,-,NR,-,1.178 unit decrease,[0.66-1.69],ALK,Parkinson disease,Parkinson disease,-,GCST90428733,2:29865460
rs199351-A,4.0000000000000003e-28,-,NR,-,-,-,GPNMB,Parkinson's disease,Parkinson disease,-,GCST90308590,7:23260430
rs114138760-C,3e-9,(random effect),NR,-,-,-,PMVK,Parkinson's disease,Parkinson disease,-,GCST90308590,1:154925709
rs6469271-T,2e-7,-,NR,-,-,-,SYBU,Parkinson's disease,Parkinson disease,-,GCST90308590,8:109632545
rs10756905-T,2e-20,-,NR,-,-,-,SH3GL2,Parkinson's disease,Parkinson disease,-,GCST90308590,9:17726890
rs6476434-T,1e-9,-,NR,-,-,-,UBAP2,Parkinson's disease,Parkinson disease,-,GCST90308590,9:34046393
rs118117788-T,4.0000000000000004e-23,(random effect),NR,-,-,-,"SEC23IP,MIR4682",Parkinson's disease,Parkinson disease,-,GCST90308590,10:119950976
rs148163066-A,7e-11,(random effect),NR,-,-,-,PKP2,Parkinson's disease,Parkinson disease,-,GCST90308590,12:32826971
rs4421827-A,2e-14,(random effect),NR,-,-,-,"Y_RNA,RNU6-472P",Parkinson's disease,Parkinson disease,-,GCST90308590,12:33974571
rs28370650-A,2.9999999999999998e-33,-,NR,-,-,-,SLC2A13,Parkinson's disease,Parkinson disease,-,GCST90308590,12:40006146
rs17442721-C,9e-27,(random effect),NR,-,-,-,LINC02555,Parkinson's disease,Parkinson disease,-,GCST90308590,12:40141971
rs17443414-A,3e-10,-,NR,-,-,-,LRRK2,Parkinson's disease,Parkinson disease,-,GCST90308590,12:40250950
rs190807041-G,1e-13,(random effect),NR,-,-,-,"LRRK2,MUC19",Parkinson's disease,Parkinson disease,-,GCST90308590,12:40379882
rs4698412-A,5.9999999999999997e-33,-,NR,-,-,-,BST1,Parkinson's disease,Parkinson disease,-,GCST90308590,4:15735725
rs1550556-T,1e-8,-,NR,-,-,-,SCARB2,Parkinson's disease,Parkinson disease,-,GCST90308590,4:76173388
rs4859676-A,8e-8,-,NR,-,-,-,SHROOM3,Parkinson's disease,Parkinson disease,-,GCST90308590,4:76457698
rs6582586-A,6e-8,-,NR,-,-,-,"SLC38A1,RPL13AP21",Parkinson's disease,Parkinson disease,-,GCST90308590,12:46022959
rs78299420-T,3e-9,(random effect),NR,-,-,-,PITPNM2,Parkinson's disease,Parkinson disease,-,GCST90308590,12:123086549
rs145138919-T,5e-9,(random effect),NR,-,-,-,CCSER1,Parkinson's disease,Parkinson disease,-,GCST90308590,4:90531895
rs11610045-A,5e-11,-,NR,-,-,-,"FBRSL1,GALNT9",Parkinson's disease,Parkinson disease,-,GCST90308590,12:132487182
rs7434295-T,2e-11,-,NR,-,-,-,CLCN3,Parkinson's disease,Parkinson disease,-,GCST90308590,4:169642795
rs11956597-A,8e-8,-,NR,-,-,-,DDX46,Parkinson's disease,Parkinson disease,-,GCST90308590,5:134763068
rs8018800-A,4e-16,-,NR,-,-,-,WDHD1,Parkinson's disease,Parkinson disease,-,GCST90308590,14:54986588
rs8012377-T,2e-10,(random effect),NR,-,-,-,"RPL13AP3,KTN1",Parkinson's disease,Parkinson disease,-,GCST90308590,14:55724695
rs112288215-T,3e-7,-,NR,-,-,-,AREL1,Parkinson's disease,Parkinson disease,-,GCST90308590,14:74688182
rs28648524-A,3e-8,-,NR,-,-,-,"USP50,USP8",Parkinson's disease,Parkinson disease,-,GCST90308590,15:50495212
rs2251086-T,5e-22,-,NR,-,-,-,"RORA,LINC02349",Parkinson's disease,Parkinson disease,-,GCST90308590,15:61705186
rs34133110-T,1e-9,-,NR,-,-,-,NOD2,Parkinson's disease,Parkinson disease,-,GCST90308590,16:50710008
rs11164870-C,3e-9,-,NR,-,-,-,MTF2,Parkinson's disease,Parkinson disease,-,GCST90308590,1:93086630
